"Participant ID","Completed","Pre/Post","Score","Difference","Proctor","Provider","State","Caseload","Group Frequency","Online Frequency","Rural Frequency","Service","Archived","q_01","q_02","q_03","q_04","q_05","q_06","q_07","q_08","q_09","q_10","q_11","q_12","q_13","q_14","q_15","q_16","q_17","Mode"
2164,"02/02/2022 00:57:00 (MST)","Pre",54.17,66.67,"","Logistics Specialties Inc. (8)","Utah","","sometimes","","","JS",0,2,1,1,3,3,0,0,0,2,1,3,1,NA,1,"",NA,"","No Help"
2287,"05/26/2023 08:35:53 (MST)","Pre",77.78,NA,"","Roads to Independence (26)","Utah","","","never","","CPSO",0,2,3,3,1,2,3,2,1,0,1,3,NA,3,NA,"",NA,"","No Help"
424,"09/10/2024 10:42:30 (MST)","Pre",40,NA,"Jessica De La Mare","Logistics Specialties Inc. (8)","Utah","","","","","JOBEX",0,3,2,2,3,2,0,3,3,3,1,NA,1,3,NA,"",NA,"","With Help"
1501,"05/10/2023 13:39:44 (MST)","Pre",70,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","WBLE",0,2,1,2,3,2,1,1,0,1,NA,3,NA,NA,NA,"",NA,"","No Help"
2354,"04/24/2024 10:44:50 (MST)","Pre",80,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","CPSO",0,2,2,3,3,2,2,3,2,0,NA,2,NA,3,1,"1",NA,"","No Help"
1109,"04/16/2024 13:14:56 (MST)","Pre",84.85,13.34,"Reston Godwin","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,2,2,2,2,1,3,1,NA,NA,NA,NA,3,NA,NA,"",NA,"","No Help"
1103,"07/11/2024 09:09:53 (MST)","Post",92.59,-13.33,"Jessica Tiger","Logistics Specialties Inc. (8)","Utah","","","sometimes","sometimes","WBLE",0,1,1,3,0,3,3,2,3,NA,2,NA,NA,NA,2,"",NA,"","No Help"
2379,"12/18/2024 09:33:28 (MST)","Post",42.42,12.5,"Jordan Allen","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,2,3,1,3,2,2,3,2,2,NA,2,3,NA,NA,"",NA,"","With Help"
687,"08/29/2023 14:00:16 (MST)","Post",76.19,NA,"Utah SPA","Logistics Specialties Inc. (8)","Utah","","","sometimes","","WSS",0,3,1,2,1,3,2,1,2,1,2,1,2,NA,2,"3",NA,"","No Help"
1073,"12/13/2022 06:52:00 (MST)","Pre",73.33,3.7,"","Logistics Specialties Inc. (8)","Utah","","","","","CSS",0,3,2,0,2,1,0,3,3,2,2,3,NA,NA,3,"",NA,"",""
496,"04/24/2024 10:38:11 (MST)","Pre",59.52,NA,"","Yellowstone Academy (214)","Utah","","sometimes","","","WBLE",0,2,1,3,2,1,0,2,3,2,NA,1,NA,2,NA,"0",NA,"","No Help"
1800,"02/09/2024 09:02:52 (MST)","Post",74.07,16.66,"","Southern Utah University (27)","Utah","general","","","","JS",0,2,2,1,2,2,1,3,3,NA,3,NA,NA,NA,1,"",NA,"",""
585,"09/13/2022 01:06:00 (MST)","Pre",87.5,NA,"","Logistics Specialties Inc. (8)","Utah","","rarely","never","","ILOM",0,1,0,3,3,1,1,2,3,1,NA,NA,NA,2,NA,"",NA,"",""
1641,"04/16/2023 17:18:35 (MST)","Post",85.19,8.34,"","Central Technology Center (Central Tech) (56)","Utah","","","","","ISA",0,3,0,3,3,2,1,2,3,NA,2,NA,NA,3,NA,"3",NA,"",""
539,"06/05/2024 07:45:16 (MST)","Post",51.85,NA,"","Logistics Specialties Inc. (8)","Utah","","","never","rarely","CPSO",0,3,2,0,3,3,1,3,NA,3,NA,NA,NA,NA,NA,"",NA,"","No Help"
2554,"05/01/2024 13:52:34 (MST)","Post",66.67,NA,"","Logistics Specialties Inc. (8)","Colorado","","rarely","sometimes","sometimes","JOBEX",0,2,2,2,3,1,3,3,0,NA,NA,2,NA,NA,2,"",NA,"","No Help"
236,"06/05/2024 20:36:24 (MST)","Post",46.67,NA,"","Southern Utah University (27)","Utah","","","","","JS",0,3,3,1,1,1,2,3,3,1,NA,NA,3,3,NA,"",NA,"","No Help"
1084,"08/06/2024 08:33:05 (MST)","Pre",62.22,3.7,"Demo Agency2","Denver (110)","Utah","","","rarely","sometimes","JS",0,2,3,3,3,1,3,3,2,2,NA,NA,NA,3,NA,"",NA,"","No Help"
1686,"04/27/2024 20:18:20 (MST)","Pre",54.17,NA,"Utah RTI","Columbus Community Center (9)","Utah","","","","sometimes","FL",0,3,3,3,1,3,0,3,2,2,0,NA,NA,1,NA,"",NA,"","No Help"
1156,"10/02/2022 13:57:50 (MST)","Post",52.38,NA,"Utah NSSD","Logistics Specialties Inc. (8)","Utah","general","","rarely","","WSS",1,1,1,3,2,1,2,1,3,3,2,2,NA,NA,NA,"2",NA,"",""
270,"08/30/2023 23:37:26 (MST)","Post",66.67,NA,"","Logistics Specialties Inc. (8)","Oklahoma","","rarely","","","CPSO",0,1,0,1,3,1,2,3,1,NA,0,NA,NA,NA,NA,"",NA,"","No Help"
794,"11/21/2022 07:43:15 (MST)","Pre",74.07,NA,"Jessy Katu","Logistics Specialties Inc. (8)","Utah","","","","","WSS",0,1,2,2,1,3,2,2,1,0,NA,NA,2,NA,NA,"",NA,"","No Help"
1210,"11/05/2021 07:59:37 (MST)","Pre",97.78,NA,"","Turn Community Services (29)","Utah","","always","rarely","","QWEX",0,1,2,3,3,3,1,2,1,3,2,2,NA,NA,NA,"",NA,"","No Help"
2268,"02/15/2023 10:26:23 (MST)","Post",100,25.93,"","Logistics Specialties Inc. (8)","Utah","general","","","","CSS",0,3,3,2,3,3,3,1,1,2,NA,NA,NA,NA,NA,"",NA,"","With Help"
2338,"10/26/2022 03:28:28 (MST)","Pre",45.83,-13.34,"","Columbus Community Center (9)","Utah","specialized","","never","","QWEX",0,2,2,2,2,3,3,1,2,1,NA,2,2,NA,0,"",1,"","With Help"
338,"07/26/2023 09:02:38 (MST)","Post",75.76,NA,"Lily Kay","Utah State University (59)","Utah","general","","rarely","","WSS",0,1,2,3,2,2,2,2,1,3,NA,NA,2,NA,NA,"",NA,"","No Help"
681,"05/10/2022 21:40:00 (MST)","Post",40,0,"","North Sanpete School District (24)","Oklahoma","","","","","ISA",0,0,2,2,3,1,2,0,3,2,0,0,3,NA,NA,"",NA,"","No Help"
512,"01/22/2025 15:09:02 (MST)","Pre",43.33,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","FL",0,3,1,2,3,2,3,3,3,2,NA,NA,NA,NA,NA,"",NA,"","No Help"
1103,"04/23/2024 11:02:56 (MST)","Pre",28.89,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,1,2,0,3,2,2,1,0,3,1,NA,NA,NA,NA,"",NA,"","With Help"
2387,"08/07/2024 08:36:00 (MST)","Pre",60,9.52,"","Community Options (82)","Utah","","","sometimes","","WBLE",0,3,1,2,2,1,3,2,2,NA,2,NA,NA,2,3,"",NA,"","No Help"
1254,"05/30/2023 12:15:36 (MST)","Pre",92.59,NA,"","Region 1 (271)","Utah","","","sometimes","","FL",0,1,2,2,3,2,3,3,2,2,0,NA,NA,3,NA,"2",NA,"","No Help"
589,"07/22/2024 09:16:51 (MST)","Pre",54.17,NA,"Gabrielle Braze","Logistics Specialties Inc. (8)","Utah","","","rarely","","QWEX",0,3,1,2,0,2,0,1,NA,1,1,3,2,2,1,"",NA,"","No Help"
177,"06/27/2024 09:40:49 (MST)","Post",48.48,NA,"","Logistics Specialties Inc. (8)","Utah","general","","","","WBLE",0,1,1,2,1,1,2,1,3,2,NA,NA,2,3,NA,"3",NA,"","No Help"
508,"12/10/2024 09:16:06 (MST)","Post",48.15,NA,"","Turn Community Services (29)","Utah","","","rarely","","CSS",0,1,2,3,1,1,0,2,3,3,3,NA,NA,NA,NA,"",NA,"","With Help"
2354,"12/02/2024 09:58:31 (MST)","Post",69.44,NA,"","Logistics Specialties Inc. (8)","Montana","","","","","FL",0,3,3,2,2,1,3,2,3,2,3,NA,NA,3,NA,"",NA,"","With Help"
1935,"08/11/2022 02:01:00 (MST)","Pre",100,NA,"","Darby K-12 School Dist. (158)","Utah","general","","","rarely","WSS",0,2,2,1,1,2,2,0,0,3,3,NA,0,NA,NA,"",NA,"","With Help"
2073,"05/01/2024 12:12:24 (MST)","Pre",70.37,NA,"Tracy Tilley","Turn Community Services (29)","Utah","","","","","ISA",0,2,3,3,2,3,1,3,2,2,2,3,NA,NA,3,"1",NA,"",""
1896,"10/29/2024 15:01:41 (MST)","Post",57.14,NA,"","Logistics Specialties Inc. (8)","Utah","general","","never","","QWEX",0,2,1,2,3,3,0,2,3,0,0,3,3,NA,NA,"",NA,"","No Help"
956,"05/26/2023 08:44:41 (MST)","Pre",47.62,NA,"Jennica Hammond","Logistics Specialties Inc. (8)","Utah","","","","","JOBEX",0,3,1,2,1,2,1,2,2,3,3,NA,NA,3,NA,"",NA,"","No Help"
2093,"01/17/2025 12:01:02 (MST)","Post",40.74,NA,"","Logistics Specialties Inc. (8)","Oklahoma","","","","never","CSS",0,3,1,0,2,2,3,3,1,0,2,NA,0,NA,3,"",NA,"","No Help"
1984,"09/23/2024 08:23:55 (MST)","Post",80.95,NA,"","Logistics Specialties Inc. (8)","Utah","","","rarely","sometimes","WBLE",0,3,2,2,3,2,1,1,2,NA,1,NA,NA,2,2,"1",NA,"","No Help"
2334,"11/14/2024 18:49:36 (MST)","Pre",50,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,3,0,2,1,2,0,2,1,2,NA,2,NA,NA,NA,"3",NA,"","No Help"
1190,"09/20/2023 13:38:15 (MST)","Pre",96.3,-29.17,"Jennica Hammond","Spectrum Academy (28)","Utah","","","","","JS",0,2,2,3,3,1,1,1,1,NA,NA,0,NA,NA,NA,"",NA,"","No Help"
177,"02/26/2024 12:19:55 (MST)","Pre",44.44,0,"","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,1,2,2,2,2,0,3,NA,0,0,NA,NA,3,3,"",NA,"","No Help"
722,"07/24/2024 09:52:56 (MST)","Pre",42.86,NA,"Lesley DeBono","Turn Community Services (29)","Montana","general","","rarely","","WSS",0,2,2,2,3,2,2,2,1,1,NA,2,NA,NA,NA,"",NA,"","No Help"
2534,"07/29/2022 03:19:00 (MST)","Pre",56.67,-8.33,"","Logistics Specialties Inc. (8)","Utah","","","often","","ILOM",0,1,2,1,2,1,1,1,3,3,1,NA,2,NA,NA,"",NA,"","No Help"
1871,"01/04/2024 14:25:39 (MST)","Pre",76.67,NA,"","Cache Employment Training Center (80)","Oklahoma","","rarely","","","JOBEX",0,1,3,1,0,2,3,2,2,2,NA,2,2,NA,NA,"1",NA,"",""
205,"11/04/2024 13:12:57 (MST)","Pre",55.56,NA,"Alisha Anderson","Logistics Specialties Inc. (8)","Utah","","","","rarely","FL",0,3,2,2,2,3,2,2,2,2,2,3,NA,NA,NA,"",NA,"",""
871,"05/28/2024 15:54:02 (MST)","Post",62.22,55.56,"David Thacker","Logistics Specialties Inc. (8)","Utah","specialized","often","","","CPSO",0,2,3,2,1,1,2,2,2,NA,2,2,NA,NA,2,"",NA,"",""
2403,"11/30/2023 14:11:41 (MST)","Post",59.26,14.29,"Demo Agency2","Logistics Specialties Inc. (8)","Utah","","never","","","JOBEX",0,2,2,2,2,2,3,3,3,NA,3,3,1,NA,0,"2",NA,"","No Help"
717,"11/21/2022 07:13:48 (MST)","Post",37.04,NA,"","Logistics Specialties Inc. (8)","Utah","general","","rarely","always","FL",0,1,0,2,1,3,3,2,3,2,1,NA,2,NA,NA,"",NA,"",""
794,"12/02/2022 04:07:00 (MST)","Pre",88.1,NA,"","Central Technology Center (Central Tech) (56)","Utah","","never","sometimes","","JOBEX",0,2,3,2,1,3,0,2,3,3,3,NA,3,NA,NA,"",NA,"",""
1369,"02/01/2022 05:32:14 (MST)","Post",64.44,NA,"","Columbus Community Center (9)","Utah","","","","","WSS",0,0,1,1,2,3,2,3,3,2,1,NA,1,NA,1,"",NA,"","No Help"
2164,"07/24/2023 12:11:53 (MST)","Pre",95.56,NA,"","A2Demo (21)","Utah","","","","never","ISA",0,3,2,3,2,3,3,1,2,3,NA,NA,3,8,NA,"",NA,"","No Help"
1896,"08/25/2022 05:11:39 (MST)","Pre",69.05,NA,"","Logistics Specialties Inc. (8)","Montana","","","","","CPSO",0,1,1,2,0,2,2,1,0,NA,NA,NA,NA,NA,NA,"",NA,"","No Help"
1994,"06/27/2024 10:38:21 (MST)","Pre",72.73,NA,"","A2Demo (21)","Utah","","","","","ISA",0,2,0,2,2,3,1,3,2,3,2,NA,NA,NA,NA,"",NA,"","No Help"
1535,"10/04/2022 06:28:27 (MST)","Pre",78.57,NA,"Rachel Brown","Logistics Specialties Inc. (8)","Utah","","never","","","ISA",0,0,2,1,1,2,3,3,3,NA,2,NA,3,NA,NA,"",NA,"","No Help"
1103,"12/03/2021 01:03:00 (MST)","Pre",66.67,15.55,"Heather Hafen","Spectrum Academy (28)","Utah","","","","","FL",0,1,2,1,1,2,2,1,2,1,1,NA,3,0,1,"",NA,"",""
2147,"03/29/2022 09:30:10 (MST)","Post",70,35.71,"Sheri Devlin","Logistics Specialties Inc. (8)","Utah","specialized","","","","CSS",0,1,3,0,3,2,1,2,1,NA,NA,3,NA,NA,NA,"",1,"","No Help"
2096,"07/23/2024 08:24:43 (MST)","Post",71.11,30,"","Logistics Specialties Inc. (8)","Utah","","","sometimes","","JOBEX",0,3,2,2,3,2,1,3,2,2,1,NA,NA,NA,NA,"",NA,"","With Help"
956,"10/04/2022 04:46:00 (MST)","Pre",90.91,NA,"","University of Oklahoma (50)","Utah","","sometimes","","","JS",0,2,0,2,2,3,0,1,3,NA,3,1,NA,NA,NA,"",NA,"","No Help"
2164,"12/10/2024 16:41:24 (MST)","Post",74.07,55.55,"Abigail Yang","Logistics Specialties Inc. (8)","Oklahoma","general","often","","","ISA",0,3,1,2,3,3,0,1,3,3,2,NA,NA,NA,NA,"",NA,"","No Help"
2528,"04/25/2024 10:14:53 (MST)","Pre",70.83,14.81,"Demo Agency2","Logistics Specialties Inc. (8)","Utah","","","","","QWEX",0,3,3,1,2,1,2,1,1,2,3,NA,NA,3,NA,"",NA,"","No Help"
496,"08/06/2024 08:47:35 (MST)","Pre",47.62,21.21,"","Logistics Specialties Inc. (8)","Utah","","","sometimes","","CPSO",0,3,2,1,1,1,2,2,3,NA,NA,0,NA,NA,2,"",NA,"","No Help"
2203,"07/02/2024 16:09:32 (MST)","Post",59.52,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","CSS",0,1,1,1,3,3,2,2,3,3,0,0,NA,2,NA,"",NA,"","No Help"
722,"02/09/2023 14:40:31 (MST)","Post",52.38,4.17,"","Spectrum Academy (28)","Wyoming","","","rarely","","CPSO",0,2,2,2,1,0,2,1,1,2,1,NA,NA,NA,NA,"1",NA,"","With Help"
891,"02/07/2024 09:16:18 (MST)","Post",76.67,NA,"","Region 4 (274)","Utah","specialized","","","often","JS",0,1,2,3,1,1,2,0,0,NA,NA,3,NA,NA,0,"",NA,"",""
1916,"01/31/2023 19:47:12 (MST)","Pre",58.33,31.12,"","Southern Utah University (27)","Utah","","sometimes","","","WSS",0,3,3,0,1,2,1,2,1,1,2,2,NA,NA,NA,"",NA,"","With Help"
2012,"05/01/2024 13:54:35 (MST)","Post",84.85,0,"Jan Witt","Logistics Specialties Inc. (8)","Wyoming","","sometimes","","","JOBEX",0,1,3,0,3,3,3,3,3,1,NA,NA,2,2,1,"",NA,"",""
1615,"06/18/2022 14:58:17 (MST)","Pre",30,12.5,"","Southern Utah University (27)","Utah","","","","","JS",0,1,3,3,2,1,1,1,NA,3,2,NA,NA,NA,NA,"",NA,"","No Help"
593,"03/29/2024 12:32:43 (MST)","Post",54.17,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,1,1,1,0,2,1,2,NA,NA,NA,3,NA,NA,2,"3",NA,"","No Help"
1128,"11/29/2022 02:39:21 (MST)","Post",93.33,NA,"Lesley DeBono","Logistics Specialties Inc. (8)","Utah","general","","","","CPSO",0,3,2,3,3,2,2,1,2,2,3,NA,NA,NA,NA,"",NA,"","No Help"
742,"04/15/2024 13:11:04 (MST)","Pre",73.81,NA,"Demo Agency2","Logistics Specialties Inc. (8)","Utah","specialized","","","","FL",1,2,2,2,3,1,3,3,3,2,NA,NA,NA,NA,NA,"",NA,"","No Help"
1625,"08/01/2023 13:09:04 (MST)","Pre",51.85,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","WBLE",0,2,2,0,2,1,1,2,2,3,1,2,3,NA,3,"",NA,"",""
2207,"12/21/2023 18:02:57 (MST)","Pre",66.67,-10,"Nate Cullimore","Logistics Specialties Inc. (8)","Utah","general","","","","JOBEX",0,2,1,3,3,3,1,2,0,0,1,NA,NA,2,NA,"",NA,"","No Help"
585,"10/14/2022 10:18:58 (MST)","Pre",35.56,58.33,"","Southern Utah University (27)","Utah","specialized","","","","WSS",0,1,3,2,3,2,1,2,NA,3,3,NA,3,NA,1,"2",NA,"","No Help"
2388,"04/18/2024 13:56:45 (MST)","Pre",48.89,NA,"Renae Slack","Columbus Community Center (9)","Utah","","","","","CPSO",0,3,1,0,1,3,1,3,1,3,1,1,1,NA,3,"2",NA,"","With Help"
6,"06/08/2023 21:30:14 (MST)","Post",48.89,NA,"Renae Slack","Logistics Specialties Inc. (8)","Utah","","always","","rarely","ILOM",0,1,2,0,1,1,1,1,3,2,1,NA,3,NA,NA,"1",NA,"","No Help"
88,"09/29/2022 15:02:14 (MST)","Pre",81.48,0,"","Logistics Specialties Inc. (8)","Utah","general","often","","","ILOM",0,2,3,0,1,3,2,2,2,1,1,2,NA,2,NA,"",NA,"","No Help"
1103,"12/10/2024 11:06:01 (MST)","Post",66.67,NA,"","Logistics Specialties Inc. (8)","Utah","","","","sometimes","WBLE",0,3,3,1,2,1,1,2,3,NA,3,NA,NA,NA,NA,"",NA,"","No Help"
187,"03/08/2023 23:10:02 (MST)","Pre",66.67,NA,"","A2Demo (21)","Utah","","","","","WSS",0,2,3,1,3,2,3,1,3,3,3,3,3,1,NA,"",NA,"","No Help"
864,"12/03/2024 10:44:34 (MST)","Post",50,NA,"","Region 1 (271)","Utah","","","","","JOBEX",0,3,3,2,2,3,1,1,3,NA,NA,NA,NA,NA,NA,"",NA,"",""
1362,"05/31/2024 16:18:08 (MST)","Pre",44.44,2.38,"Kyle McDonald","Region 4 (274)","Utah","specialized","","","","JS",0,3,3,2,2,1,2,2,2,2,2,NA,NA,NA,1,"",NA,"","With Help"
384,"11/15/2021 06:23:11 (MST)","Pre",61.9,NA,"","Canyons School District (10)","Wyoming","","","rarely","","JS",0,3,0,3,3,2,1,2,0,0,3,NA,NA,NA,NA,"",NA,"",""
871,"09/19/2024 16:09:22 (MST)","Pre",57.14,29.63,"Jessica Tiger","Logistics Specialties Inc. (8)","Utah","","","","","FL",0,3,1,1,1,3,1,3,3,2,3,3,1,1,3,"2",NA,"",""
1871,"12/11/2023 11:28:45 (MST)","Post",66.67,NA,"Rachel Brown","University of Oklahoma (50)","Utah","","","","","JOBEX",0,3,1,1,2,1,1,2,2,2,NA,NA,NA,NA,3,"",NA,"","No Help"
687,"04/18/2023 13:57:40 (MST)","Post",60,NA,"","Logistics Specialties Inc. (8)","Oklahoma","general","","often","","WSS",0,2,0,0,1,3,2,2,2,1,3,NA,NA,NA,2,"",NA,"","No Help"
1702,"12/15/2023 21:34:56 (MST)","Post",63.33,51.11,"Nate Cullimore","Logistics Specialties Inc. (8)","Utah","","","","","WSS",0,0,1,1,3,0,2,3,0,1,NA,3,3,NA,NA,"",NA,"","No Help"
69,"04/21/2023 10:25:58 (MST)","Pre",51.11,12.12,"","Logistics Specialties Inc. (8)","Utah","general","","","","CPSO",0,1,2,2,3,2,1,3,NA,3,0,NA,NA,3,NA,"",NA,"","No Help"
424,"05/26/2022 13:27:45 (MST)","Pre",90,NA,"","Logistics Specialties Inc. (8)","Utah","specialized","","","","CSS",0,3,2,2,1,0,3,1,1,1,NA,NA,NA,NA,0,"",NA,"","No Help"
1445,"12/10/2024 09:17:29 (MST)","Post",51.85,NA,"Utah SUU","Spectrum Academy (28)","Utah","","never","rarely","often","ISA",0,3,3,1,3,0,3,2,1,2,1,NA,NA,NA,1,"",NA,"","No Help"
2109,"01/23/2023 17:00:17 (MST)","Pre",78.57,NA,"","Logistics Specialties Inc. (8)","Utah","","","rarely","","JS",0,2,1,1,3,1,2,2,3,3,1,NA,NA,NA,NA,"",1,"","No Help"
2129,"05/14/2024 10:22:32 (MST)","Pre",53.33,13.34,"","Pioneer Adult Rehabilitation Center (25)","Utah","","","","never","WSS",0,1,2,2,1,3,2,2,3,1,2,NA,NA,NA,1,"",NA,"","No Help"
858,"10/30/2024 09:52:13 (MST)","Pre",48.48,11.11,"Rachel Brown","Southern Utah University (27)","Utah","","","","","JS",0,3,2,2,2,1,2,1,1,2,1,0,NA,10,NA,"",NA,"","No Help"
1028,"12/03/2024 10:37:16 (MST)","Pre",86.67,NA,"Jennica Hammond","Glacier High School (223)","Utah","general","often","never","rarely","JOBEX",0,3,3,3,3,3,0,2,1,2,NA,NA,NA,NA,NA,"",NA,"","No Help"
1744,"12/09/2024 13:28:08 (MST)","Post",80.95,28.57,"","Logistics Specialties Inc. (8)","Utah","general","","","never","JS",0,1,2,3,1,3,0,2,3,2,2,2,1,3,NA,"3",NA,"","No Help"
2334,"09/27/2024 14:06:24 (MST)","Pre",76.19,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,3,1,3,1,3,1,1,3,2,NA,NA,3,NA,3,"",NA,"","With Help"
1771,"05/14/2024 10:21:12 (MST)","Pre",86.67,7.41,"","Logistics Specialties Inc. (8)","Demo","","","","","ILOM",0,3,2,1,2,3,2,3,2,2,NA,0,2,NA,2,"",NA,"","No Help"
2416,"09/21/2023 12:13:25 (MST)","Post",91.67,NA,"","Turn Community Services (29)","Utah","general","never","","","WSS",0,3,2,3,2,2,3,2,3,3,2,3,NA,NA,NA,"",NA,"","With Help"
860,"10/08/2024 16:44:14 (MST)","Post",100,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,3,2,2,2,1,3,3,NA,2,NA,NA,NA,NA,2,"",NA,"","No Help"
1669,"06/05/2024 20:37:04 (MST)","Post",54.17,NA,"","Roads to Independence (26)","Utah","","","","always","JOBEX",0,0,3,2,3,2,2,3,3,3,NA,NA,NA,3,NA,"1",NA,"",""
735,"11/21/2022 07:59:51 (MST)","Pre",46.67,0,"","Logistics Specialties Inc. (8)","Utah","","","rarely","","WSS",1,2,3,2,3,2,2,1,2,2,2,NA,NA,8,NA,"",NA,"","No Help"
1210,"09/30/2024 14:15:37 (MST)","Post",70,NA,"Burkley Probst","Turn Community Services (29)","Utah","general","rarely","often","","WBLE",0,2,3,1,2,3,3,1,2,0,2,2,2,NA,2,"",NA,"","No Help"
864,"11/16/2022 08:53:03 (MST)","Pre",68.89,48.88,"","Utah State Office of Rehabilitation (USOR) (30)","Utah","","rarely","","","WBLE",0,3,1,2,3,0,3,2,2,2,NA,NA,3,3,NA,"",NA,"","No Help"
1972,"09/29/2022 15:07:50 (MST)","Post",54.17,46.67,"","Logistics Specialties Inc. (8)","Utah","","","sometimes","","FL",0,2,1,2,2,0,2,1,3,3,2,3,2,3,2,"",NA,"","With Help"
90,"05/25/2022 09:39:29 (MST)","Post",71.43,33.33,"","Turn Community Services (29)","Utah","specialized","always","never","","WSS",0,3,1,0,1,2,1,3,NA,2,NA,1,NA,NA,NA,"",NA,"","No Help"
2532,"06/27/2024 09:39:32 (MST)","Pre",100,NA,"","Logistics Specialties Inc. (8)","Utah","","","","","ILOM",0,0,2,0,3,1,0,3,2,3,3,NA,NA,NA,NA,"",NA,"","No Help"
1120,"03/02/2022 00:03:00 (MST)","Pre",40.74,NA,"Jessica De La Mare","Logistics Specialties Inc. (8)","Utah","","","","","ISA",0,3,2,1,3,3,2,3,2,2,NA,1,NA,NA,NA,"",NA,"","No Help"
2172,"05/03/2022 04:15:18 (MST)","Post",11.11,NA,"","A2Demo (21)","Montana","","always","rarely","","CSS",0,2,2,3,2,3,1,0,1,2,1,NA,2,NA,NA,"",NA,"","No Help"
2113,"06/08/2022 01:14:37 (MST)","Pre",33.33,NA,"","Roads to Independence (26)","Montana","","","","","CPSO",0,3,2,2,0,1,3,3,2,1,2,NA,NA,NA,NA,"",NA,"","No Help"
1393,"07/18/2023 14:56:49 (MST)","Post",64.44,7.41,"Jennifer Medina","Yellowstone Academy (214)","Utah","","","","often","WSS",0,1,0,2,1,1,2,2,3,3,2,NA,NA,NA,NA,"1",NA,"",""
1702,"11/19/2024 07:56:10 (MST)","Post",54.17,3.7,"","Logistics Specialties Inc. (8)","Utah","","","rarely","","JOBEX",0,2,3,2,2,1,3,2,2,NA,0,2,NA,NA,NA,"",NA,"","With Help"
2073,"04/03/2024 13:13:29 (MST)","Pre",42.86,NA,"","Columbus Community Center (9)","Utah","","","","sometimes","JOBEX",0,1,0,2,2,1,0,2,1,1,NA,NA,NA,NA,NA,"",NA,"","No Help"
2439,"05/31/2024 07:04:47 (MST)","Pre",63.33,42.85,"","Logistics Specialties Inc. (8)","Utah","","never","","","WBLE",0,3,2,3,3,3,2,2,3,2,3,3,NA,NA,NA,"",NA,"","With Help"
641,"07/21/2022 08:19:47 (MST)","Pre",42.86,NA,"Renae Slack","Columbus Community Center (9)","Utah","","","sometimes","","JOBEX",0,2,3,2,3,1,1,2,2,2,NA,NA,2,NA,NA,"",NA,"",""
1800,"12/13/2022 03:47:00 (MST)","Pre",62.5,NA,"","Utah State University (59)","Utah","","","","always","WSS",0,1,2,3,1,1,1,3,3,1,1,3,NA,NA,NA,"",NA,"","No Help"
177,"12/19/2023 12:18:19 (MST)","Pre",66.67,NA,"","Logistics Specialties Inc. (8)","Utah","","never","","sometimes","JS",0,3,2,0,3,0,3,2,3,3,3,NA,3,NA,NA,"",NA,"","No Help"
759,"06/09/2022 03:19:00 (MST)","Post",84.85,55.55,"","Logistics Specialties Inc. (8)","Utah","specialized","","sometimes","","WBLE",0,1,2,1,1,3,1,1,2,2,NA,1,3,NA,NA,"",NA,"","No Help"
589,"05/31/2024 15:52:22 (MST)","Pre",66.67,12.12,"","Logistics Specialties Inc. (8)","Utah","","","rarely","always","ISA",0,1,3,3,0,2,2,2,3,2,NA,3,1,NA,NA,"",NA,"","No Help"
2132,"02/07/2024 09:22:51 (MST)","Pre",29.63,NA,"","Lockwood School Dist. / County of Yellowstone Dist. #26 (182)","Utah","","","never","always","JS",0,1,3,2,3,3,0,0,3,NA,NA,NA,NA,NA,NA,"",NA,"","No Help"
1775,"06/17/2024 16:09:37 (MST)","Pre",44.44,59.26,"","Central Technology Center (Central Tech) (56)","Utah","general","","rarely","","CSS",0,1,2,1,1,3,3,0,2,NA,NA,2,2,NA,NA,"",NA,"","No Help"
793,"01/15/2025 20:57:22 (MST)","Pre",57.14,NA,"Whitney Lambert","North Sanpete School District (24)","Utah","","","","","JOBEX",0,2,3,3,0,2,2,1,2,NA,0,2,NA,NA,NA,"",NA,"","No Help"
2207,"12/10/2021 05:15:18 (MST)","Post",29.63,14.29,"","Columbus Community Center (9)","Montana","","never","sometimes","","ISA",0,2,1,3,2,2,2,1,0,NA,0,1,NA,1,NA,"2",NA,"",""
699,"10/19/2024 02:05:49 (MST)","Post",53.33,NA,"","Logistics Specialties Inc. (8)","Utah","","never","","","WSS",0,1,3,3,1,1,3,2,1,0,NA,3,NA,NA,NA,"",NA,"","No Help"
1028,"04/19/2023 13:51:57 (MST)","Pre",71.43,NA,"","North Sanpete School District (24)","Utah","","","","","QWEX",0,2,3,0,1,3,2,0,2,2,2,NA,NA,NA,NA,"3",NA,"","No Help"
